Osmia 2015 weather (Ruddle et al. 2018),,,,,,
Study year: 2015,,,,,,
Location: Germany - Tuebingen,,,,,,
,,,,,,
,,Control field site,,,,
Date,DOY,Mean air temp. ,Max. air temp. ,Min. air temp ,Pre-cipitation ,Relative air humidity 
23-Apr,113,8.5,15.7,0.4,0.2,64.6
24-Apr,114,11.6,21.4,1.9,0,56.1
25-Apr,115,11.6,17.7,4.6,0.6,74.9
26-Apr,116,14.9,20.6,9.6,0,78.2
27-Apr,117,14,19.7,10,1.4,85.3
28-Apr,118,7.3,10.4,5.2,8.6,85.2
29-Apr,119,8.6,16.4,0.1,0,75.3
30-Apr,120,10.4,15.7,6.7,0,68.9
1-May,121,7.9,8.9,6.9,33.4,99.6
2-May,122,10.3,14.2,7.3,1.4,96.6
3-May,123,13.7,17.4,9.8,9.2,98.3
4-May,124,16.8,23.6,12.5,0,87.7
5-May,125,16.1,22.1,12.3,3.4,86.7
6-May,126,13.8,19.8,9.7,0.6,79.5
7-May,127,12.3,20.3,7.3,0,71.7
8-May,128,14.7,24.9,5.9,0,74.9
9-May,129,15.3,20.2,11.2,0,74.8
10-May,130,14.4,23.4,7.7,0,74.4
11-May,131,16.1,28.3,7.2,0,78.9
12-May,132,19.1,28.8,8.8,0,68.9
13-May,133,18.2,24.8,12,1.2,76.6
14-May,134,15,19.9,11.4,3.4,90.5
15-May,135,10.3,12.5,7.8,19.6,100
16-May,136,13,21.2,5.2,0,82.3
17-May,137,14.3,21.6,9.1,0,82.7
18-May,138,14.9,24.7,6.6,0,75.9
19-May,139,12.6,15.8,9.4,0,77.6
20-May,140,9.3,15.2,6.9,8.2,93.5
21-May,141,10.3,17.7,4.4,0,82.3
22-May,142,10.8,21.3,1.7,0,79.1
23-May,143,12,20.7,3.9,0,82.4
24-May,144,13.4,21.5,9.4,0,91.3
25-May,145,12.9,20.6,9.6,14.2,93.2
26-May,146,10.9,15.1,7.3,0.6,94.8
27-May,147,10.3,18.7,5.4,0,86.6
28-May,148,12.6,23.3,2.7,0,76.1
29-May,149,14.9,23.5,7.8,0,81.9
30-May,150,12.5,16.3,7.8,0.4,89.7
31-May,151,14.1,23.2,6.1,0,78.3
1-Jun,152,17,23.7,11.4,0,77.4
2-Jun,153,17.9,26.9,9.8,0,74.1
3-Jun,154,20.3,27.4,13.7,0,64.9
4-Jun,155,19.4,30.8,10.2,0,81.3
5-Jun,156,22.3,34.4,13.2,0,76.3
6-Jun,157,23.5,33.6,17.6,0,76.5
7-Jun,158,21.1,29.8,15.4,2.6,86.7
8-Jun,159,14.1,16.8,11.6,24.2,98.3
9-Jun,160,11.7,13.7,10.6,0,100
10-Jun,161,13.7,16.8,10.7,0,98.9
11-Jun,162,18.2,28.2,10.5,0,89.2
12-Jun,163,20,30.9,12.6,0.4,89
13-Jun,164,19,26.9,13.7,0.2,86.7
14-Jun,165,19,27.7,12.7,0,87.7
15-Jun,166,16.6,20.1,14,0.4,95.9
16-Jun,167,15.6,19.4,12.2,0,92.7
17-Jun,168,15.7,24.4,8.3,0,79.7
18-Jun,169,13.5,17.4,10.4,7.4,94.2
19-Jun,170,12.6,16.6,9.4,0,92
20-Jun,171,11.1,13.1,8,1,97.9
21-Jun,172,13.3,21.1,7.4,11,89
22-Jun,173,13.9,17.8,10.9,5.4,96.6
23-Jun,174,11.9,17.3,7.8,1.4,87.2
24-Jun,175,10,18.4,6.5,8,96.5
